"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"Q9";"FDN360P";"FDN360P";"SUPER-SOT3";"Single P-Channel, PowerTrench (R) MOSFET";"";"";"";"";"";
"Q10";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q11";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q12";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q13";"FDN360P";"FDN360P";"SUPER-SOT3";"Single P-Channel, PowerTrench (R) MOSFET";"";"";"";"";"";
"Q14";"BCX71SMD";"BCX71SMD";"SOT23";"PNP Transistor";"";"";"";"";"";
"Q15";"BCX71SMD";"BCX71SMD";"SOT23";"PNP Transistor";"";"";"";"";"";
"Q16";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q17";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q18";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q19";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q20";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q21";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q22";"BCX71SMD";"BCX71SMD";"SOT23";"PNP Transistor";"";"";"";"";"";
"Q23";"BCX71SMD";"BCX71SMD";"SOT23";"PNP Transistor";"";"";"";"";"";
"Q24";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q25";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q26";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q27";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q28";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q29";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q30";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q31";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q32";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q33";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q34";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q35";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q36";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q37";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"R1";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R2";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R3";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R4";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R5";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R6";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R7";"10ME";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R8";"10ME";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R9";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R10";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R11";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R12";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R13";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R14";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R15";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R16";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R17";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R18";"10ME";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R19";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R20";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R21";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R22";"10ME";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R23";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R24";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R25";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R26";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R27";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R28";"1kE";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R29";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R30";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R31";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R32";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R33";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R34";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R35";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R36";"10M";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R37";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R38";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R39";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R40";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R41";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R42";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R43";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R44";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R45";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R46";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R47";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R48";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R49";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R50";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"R51";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"R";
"SV1";"";"ML10";"ML10";"HARTING";"";"";"unknown";"unknown";"";
"T1";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";
"T2";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";
"T3";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";
"T4";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";
"T5";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";
"T6";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";
"T7";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";
"T8";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";
